1000 20000
0 999
0 1 77
1 2 75
2 3 95
3 4 63
4 5 52
327 94 60
743 896 29
216 301 54
106 970 43
473 884 50
364 658 38
665 916 73
588 508 31
465 916 51
559 636 20
370 80 86
574 117 23
218 761 10
666 615 58
203 591 48
552 198 60
324 371 19
923 174 41
233 847 35
660 752 20
425 4 38
442 367 63
549 948 64
116 557 94
540 750 14
278 769 43
279 331 67
809 915 11
428 615 18
602 765 58
602 679 13
316 278 27
978 643 87
722 534 70
822 152 8
423 616 62
82 308 20
125 412 10
382 951 19
383 324 46
416 442 52
719 136 42
991 608 15
920 653 91
448 173 87
776 318 100
347 315 42
122 943 97
595 721 30
224 184 55
414 77 43
699 986 91
626 812 35
987 561 79
168 225 98
588 427 44
130 850 18
208 492 6
715 739 83
262 798 63
568 685 82
755 34 97
887 354 18
874 337 28
905 335 7
455 623 72
189 476 90
28 584 67
311 427 10
529 229 35
61 411 91
627 899 13
843 443 47
412 581 83
795 874 50
557 415 90
843 30 80
289 491 82
202 513 84
290 231 51
561 209 87
379 614 81
981 658 8
220 257 66
876 52 9
589 391 57
720 181 86
885 687 12
641 778 78
526 251 73
417 218 1
104 692 6
748 298 17
81 841 25
176 95 55
369 80 42
645 839 19
909 240 47
544 375 40
623 645 30
579 794 10
65 501 72
316 414 49
71 278 85
74 853 60
601 218 28
575 719 63
693 643 45
237 945 79
730 227 87
828 335 98
20 219 82
616 895 61
874 578 80
57 405 6
630 643 96
346 772 5
173 859 74
923 895 61
70 143 100
182 406 19
181 150 40
9 555 79
900 96 63
242 486 87
449 209 52
652 793 35
743 84 26
444 560 94
34 928 44
511 26 17
195 897 20
748 245 61
434 523 83
462 140 74
351 255 72
146 261 22
176 219 53
825 213 44
906 957 5
65 951 60
617 430 91
782 135 24
313 904 100
271 905 38
924 479 34
757 702 23
723 812 44
866 50 78
613 444 36
479 954 5
944 746 93
519 452 77
914 949 4
552 514 29
758 871 76
64 926 26
937 860 53
61 694 80
217 658 37
898 185 55
775 546 39
435 429 36
125 236 97
655 233 47
162 331 60
425 351 4
4 593 2
708 592 40
3 258 30
205 814 6
227 53 14
110 260 69
684 478 90
588 290 31
8 337 55
500 404 28
819 993 78
9 241 60
389 11 54
481 938 18
473 852 72
395 26 5
798 406 36
585 739 94
182 86 11
510 516 36
346 697 50
133 149 91
320 621 71
709 216 10
777 679 56
797 377 83
